0	0	0	0	0	0	0	0	0	0	0	3355	4837	5090	4122	2348	1042	603	625	1053	2168	4683	9351	15622	22679	25843	23500	17679	10442	4950	2115	726	260	136	114	134	149	139	145	141	155	156	131	168	136	153	127	139	133	131	138	144	111	109	124	110	99	93	108	89	85	87	93	85	95	80	78	67	73	71	59	74	62	72	63	67	67	63	58	58	57	50	53	41	49	54	48	40	31	31	41	36	39	31	44	34	30	42	27	30	33	26	31	30	32	27	20	25	30	23	22	16	24	16	15	27	14	23	17	21	17	23	8	19	17	13	13	14	13	11	8	10	15	16	10	17	12	14	14	9	11	16	12	11	5	10	19	8	13	9
0	0	0	0	0	0	0	0	0	0	0	2110	3418	4587	4940	3958	2359	1096	608	558	747	1401	2776	5613	10412	16429	21625	23681	21504	16281	10278	5330	2411	912	354	166	126	109	109	117	129	138	136	146	127	156	116	110	106	138	128	106	137	123	128	133	116	116	93	96	97	77	85	105	74	78	67	77	81	58	75	63	67	71	59	49	68	62	65	65	66	60	47	57	50	56	63	45	51	45	31	38	37	34	59	48	37	38	31	33	36	37	28	31	33	34	29	23	39	20	20	23	36	18	25	17	19	23	17	21	22	16	26	28	25	16	20	14	9	13	16	20	17	13	21	13	21	16	11	15	10	15	14	14	12	13	14	12	20	7
0	0	0	0	0	0	0	0	0	0	0	1099	2014	3222	4328	4578	3905	2537	1296	707	524	541	899	1624	3032	5771	9923	15313	20242	22342	21160	16823	11276	6595	3324	1518	573	267	126	107	111	121	136	122	128	113	137	135	123	122	134	119	120	136	121	134	112	123	108	118	112	107	93	90	95	80	82	72	78	70	83	69	73	61	65	78	50	62	63	76	52	74	69	66	47	59	67	40	52	46	47	39	41	36	34	48	46	38	47	47	49	40	34	42	29	24	34	38	33	32	28	29	34	39	28	22	25	21	31	26	22	21	22	22	23	20	21	16	17	24	15	12	15	19	19	14	11	13	14	15	14	14	9	16	10	9	7	12	11	17
0	0	0	0	0	0	0	0	0	0	0	611	1140	1886	3078	3838	4226	3736	2629	1566	792	469	413	576	903	1650	3076	5425	8986	13680	17867	20800	20355	17388	13064	8442	4683	2391	1114	501	236	160	97	115	102	106	115	110	121	128	114	124	139	140	109	111	114	91	103	108	117	124	98	102	106	96	106	88	90	76	70	73	78	72	56	58	61	75	63	68	64	59	66	60	60	55	52	47	43	51	40	40	56	45	45	34	56	42	39	39	41	29	38	43	31	44	22	44	43	31	41	31	35	24	30	35	28	36	29	37	28	21	31	16	26	26	29	23	23	16	20	13	30	15	29	19	16	21	17	12	13	19	20	19	18	14	15	14	16	13
0	0	0	0	0	0	0	0	0	0	0	392	665	1119	1771	2794	3762	3945	3785	2835	1791	943	525	410	424	568	993	1645	3043	5195	8555	12601	16448	19010	19306	17578	13932	9679	6276	3500	1792	817	374	190	132	107	99	95	130	110	114	109	130	119	145	126	113	107	105	114	98	90	81	105	97	116	103	86	84	108	90	95	72	74	79	85	55	58	62	50	60	52	62	65	55	58	63	51	59	53	53	57	59	50	42	44	44	54	42	45	47	47	54	52	42	45	38	46	41	27	32	41	37	43	30	33	34	27	30	25	41	39	26	20	21	36	28	21	18	19	28	21	25	26	25	21	15	20	19	22	15	20	19	15	13	20	15	21	17	27
0	0	0	0	0	0	0	0	0	0	0	279	399	636	1017	1620	2453	3285	3771	3667	3042	2136	1248	723	427	339	405	567	924	1461	2490	4269	6853	10012	13720	16427	18193	17579	15295	12229	8498	5463	3240	1718	872	435	210	131	104	78	77	82	84	82	93	80	102	95	94	108	101	118	94	88	83	98	107	101	98	85	113	97	95	106	82	96	90	67	81	69	75	61	56	65	61	74	51	57	63	47	69	59	57	44	60	53	65	42	48	51	41	47	45	35	34	36	47	42	48	35	46	42	34	37	29	41	37	31	41	34	23	36	31	31	29	26	35	27	22	27	20	34	20	23	30	29	22	20	25	26	24	27	21	23	19	18	23	26	21	15
0	0	0	0	0	0	0	0	0	0	0	205	235	374	580	878	1416	2038	2779	3336	3580	3215	2490	1750	1025	593	388	334	407	512	748	1254	1975	3166	5204	7640	10902	13786	15989	17051	16355	14427	11271	8364	5433	3404	1943	1086	519	269	141	93	89	82	99	94	81	88	95	91	103	89	83	95	125	77	115	93	97	100	89	88	79	101	77	79	68	83	91	89	82	89	78	86	74	70	78	63	49	60	47	62	54	65	51	55	65	53	53	56	47	40	41	45	36	30	43	42	41	39	36	45	38	38	44	38	40	38	32	38	34	37	38	34	31	42	34	40	33	35	24	22	37	38	32	30	35	24	25	29	17	25	32	27	21	25	26	21	28	26
0	0	0	0	0	0	0	0	0	0	0	153	180	225	390	525	864	1254	1800	2431	3030	3238	3184	2722	2024	1338	838	444	350	310	402	477	732	1120	1694	2580	4125	6283	8787	11215	14094	15745	15864	14981	12902	10326	7807	5303	3436	2015	1100	650	307	185	119	88	89	83	66	84	75	81	101	88	91	87	82	102	106	101	93	85	80	84	90	84	88	92	66	81	72	79	72	70	71	81	72	70	82	86	78	58	63	58	50	61	54	60	46	41	46	46	46	53	43	50	49	52	38	51	40	42	47	39	44	49	47	37	43	42	34	40	32	55	28	45	44	44	37	41	26	39	46	17	33	38	29	30	25	30	28	28	23	27	26	30	28	24	26	31
0	0	0	0	0	0	0	0	0	0	0	128	154	188	215	331	495	665	1013	1568	2049	2650	2979	3165	2926	2340	1776	1157	759	426	332	276	312	367	577	812	1137	1860	2818	4352	6187	8461	10716	12806	14118	14746	14240	12696	10713	8563	5992	4110	2640	1603	906	502	286	175	112	72	72	71	71	67	81	70	97	65	83	60	76	66	95	98	77	86	91	72	72	92	81	79	69	84	67	57	83	76	76	83	62	65	65	70	60	78	73	52	55	68	47	51	52	49	56	66	45	41	39	43	46	43	52	50	45	37	54	38	38	47	50	33	34	33	36	39	37	37	35	35	46	33	47	36	33	37	19	35	39	31	29	22	35	23	38	27	29	29	34	25
0	0	0	0	0	0	0	0	0	0	0	121	118	130	174	201	300	374	574	841	1277	1661	2169	2542	2910	2881	2617	2190	1620	1114	706	433	268	265	266	332	453	612	854	1271	1906	2750	3897	5576	7617	9715	11440	13144	13707	13540	12796	11016	9153	6983	5147	3553	2382	1466	921	527	263	178	121	76	62	72	60	51	74	66	60	72	76	80	75	75	83	76	76	66	76	79	71	73	85	96	72	72	77	66	84	70	79	72	77	74	72	68	79	61	65	68	63	67	61	59	37	53	41	65	46	34	45	48	43	44	51	44	36	42	39	48	31	49	47	41	44	36	36	46	32	52	42	32	31	27	25	25	32	35	33	28	29	28	33	27	35	31	32	30
